station_id,time,cs,fof2,hmF2,foE,MUFD,hF2
AL945,2026-02-05 14:15:00+00:00,90,8.275,29.07,2.47,215.0,224.0
MHJ45,2026-02-05 14:15:00+00:00,75,11.950,40.41,2.85,220.0,254.5
MHJ45,2026-02-05 14:22:30+00:00,75,12.250,41.39,2.92,225.0,254.9
AL945,2026-02-05 14:22:30+00:00,60,8.263,29.51,2.55,275.0,210.1
MHJ45,2026-02-05 14:30:00+00:00,90,12.350,41.91,2.95,235.0,253.1
AL945,2026-02-05 14:30:00+00:00,40,7.325,28.48,2.63,210.0,204.3
MHJ45,2026-02-05 14:37:30+00:00,90,12.300,41.21,2.97,227.5,250.9
AL945,2026-02-05 14:37:30+00:00,75,7.550,27.11,2.67,207.5,219.9
MHJ45,2026-02-05 14:45:00+00:00,75,12.325,40.85,3.00,222.5,256.3
AL945,2026-02-05 14:45:00+00:00,40,8.579,31.31,2.70,265.0,227.5
AL945,2026-02-05 14:52:30+00:00,65,9.700,35.52,2.78,212.5,228.7
MHJ45,2026-02-05 14:52:30+00:00,70,12.325,41.39,2.83,217.5,246.2
MHJ45,2026-02-05 15:00:00+00:00,95,12.350,41.30,,220.0,249.8
AL945,2026-02-05 15:00:00+00:00,60,9.713,34.25,2.78,255.0,231.0
MHJ45,2026-02-05 15:07:30+00:00,95,12.650,42.19,3.03,222.5,252.6
AL945,2026-02-05 15:07:30+00:00,95,9.913,34.01,2.83,267.5,217.8
AL945,2026-02-05 15:15:00+00:00,90,10.300,34.69,2.85,220.0,242.9
MHJ45,2026-02-05 15:15:00+00:00,70,12.500,42.38,,225.0,250.5
AL945,2026-02-05 15:22:30+00:00,0,10.575,35.91,2.70,320.0,
MHJ45,2026-02-05 15:22:30+00:00,70,12.275,41.17,,220.0,250.9
AL945,2026-02-05 15:30:00+00:00,95,10.938,37.94,2.95,252.5,231.0
MHJ45,2026-02-05 15:30:00+00:00,70,11.825,39.51,3.05,220.0,236.1
MHJ45,2026-02-05 15:37:30+00:00,75,11.900,37.76,,215.0,261.5
AL945,2026-02-05 15:37:30+00:00,90,10.850,36.97,2.97,215.0,238.2
MHJ45,2026-02-05 15:45:00+00:00,90,12.175,39.11,3.00,207.5,266.0
AL945,2026-02-05 15:45:00+00:00,90,10.913,36.76,2.90,155.0,243.9
MHJ45,2026-02-05 15:52:30+00:00,75,12.350,40.72,2.85,207.5,257.4
AL945,2026-02-05 15:52:30+00:00,60,11.175,36.97,2.90,212.5,251.2
AL945,2026-02-05 16:00:00+00:00,90,10.975,36.63,3.05,210.0,239.9
MHJ45,2026-02-05 16:00:00+00:00,75,12.400,41.38,3.10,205.0,253.2
MHJ45,2026-02-05 16:07:30+00:00,75,12.325,40.66,3.22,202.5,257.7
AL945,2026-02-05 16:07:30+00:00,90,11.225,38.05,2.83,205.0,243.9
AL945,2026-02-05 16:15:00+00:00,90,11.325,37.16,2.80,205.0,254.5
MHJ45,2026-02-05 16:15:00+00:00,75,12.200,39.83,3.08,205.0,260.3
MHJ45,2026-02-05 16:22:30+00:00,70,12.300,40.18,3.05,205.0,260.0
AL945,2026-02-05 16:22:30+00:00,90,11.600,38.58,2.85,142.5,251.3
MHJ45,2026-02-05 16:30:00+00:00,70,12.350,40.99,,212.5,257.3
AL945,2026-02-05 16:30:00+00:00,90,11.800,40.09,2.85,195.0,245.3
AL945,2026-02-05 16:37:30+00:00,90,11.613,39.67,3.08,217.5,240.1
MHJ45,2026-02-05 16:37:30+00:00,75,12.250,41.16,,225.0,249.9
MHJ45,2026-02-05 16:45:00+00:00,75,11.950,39.78,3.10,222.5,247.7
